service_display_name,name,quantity,region,service_id,sku,"total_price, USD",notes
GKE  (Kubernetes Engine),Zonal Kubernetes Clusters,1.0,global,CCD8-9BF1-090E,6B92-A835-08AB,73,
GKE  (Kubernetes Engine),Regional Kubernetes Clusters,0.0,global,CCD8-9BF1-090E,B561-BFBD-1264,0,
GKE  (Kubernetes Engine),Balanced PD Capacity,30.0,us-central1,CCD8-9BF1-090E,6AE1-525F-8B80,3,
GKE  (Kubernetes Engine),E2 Instance Core running in Americas,2190.0,us-central1,CCD8-9BF1-090E,CF4E-A0C7-E3BF,47.76738,
GKE  (Kubernetes Engine),E2 Instance Ram running in Americas,8760.0,us-central1,CCD8-9BF1-090E,F449-33EC-A5EF,25.61012,
Persistent Disk  (Hyperdisk and Persistent Disk),Storage PD Capacity,50.0,us-central1,6F81-5844-456A,D973-5D65-BAB2,0.8,
MySQL (Cloud SQL),Cloud SQL for MySQL: Zonal - Micro instance in Americas,730.0,us-central1,9662-B51E-5089,65AF-E01F-7427,7.665,
MySQL (Cloud SQL),Cloud SQL for MySQL: Zonal - Standard storage in Americas,7300.0,us-central1,9662-B51E-5089,F0A1-2B08-FA36,1.7,
Cloud Load Balancing (Networking),Regional External Application Load Balancer Inbound Data Processing for Iowa (us-central1),100.0,,E505-1604-58F8,3F60-2E4F-0911,0.8,
Cloud Load Balancing (Networking),Regional External Application Load Balancer Outbound Data Processing for Iowa (us-central1),100.0,,E505-1604-58F8,B9BD-6489-535E,0.8,
Cloud Load Balancing (Networking),Regional External Proxy Network Load Balancer Forwarding Rule Minimum for Iowa (us-central1),1.0,,E505-1604-58F8,78A4-19DB-001F,18.25,
Data Transfer (Networking),Network Internet Data Transfer Out from Americas to Australia,100.0,,6F81-5844-456A,FDBC-6E3B-D4D8,19,
Data Transfer (Networking),Network Inter Region Data Transfer Out from Americas to Virginia,0.0,,6F81-5844-456A,C863-37DA-506E,0,
,,,,,,,
,,,,,Total Price:,198.3925,
,,,,,,,
"Prices are in US dollars, effective date is 2025-10-23T16:21:44.356Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVE1TTJNM09HVmtZaTFoTTJNMUxUUXhOMll0WVRWbFlpMHdaVFJsTnpOa1pEWTVaV1lRQVE9PRokRUMxNDJBOEEtODgyQy00NDAxLUIyOTctRDRGOTcyRDFFNzhD,,,,,,
